R,Zinv,Sinv,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top
277.7080000000,70.4951000000,289.8580000000,363.5260000000,0.4440000000,-0.2890000000,-0.1250000000,0.0016682500,0.0012017100,-0.0010348000,-0.0010429400,298.4200000000,195.3470000000,-117.4340000000,-149.9840000000
278.3030000000,70.9047000000,290.5810000000,362.8030000000,0.4450000000,-0.2860000000,-0.1240000000,0.0016422600,0.0012146200,-0.0010249400,-0.0010340500,293.3580000000,198.7700000000,-116.9810000000,-147.1790000000
278.8960000000,71.3164000000,291.3030000000,362.0810000000,0.4460000000,-0.2840000000,-0.1220000000,0.0016174400,0.0012260300,-0.0010143500,-0.0010242400,288.6000000000,201.9250000000,-116.2900000000,-144.2710000000
279.4880000000,71.7303000000,292.0250000000,361.3590000000,0.4470000000,-0.2820000000,-0.1210000000,0.0015926700,0.0012373900,-0.0010037600,-0.0010144400,283.8540000000,205.0690000000,-115.5960000000,-141.3670000000
280.0780000000,72.1463000000,292.7470000000,360.6370000000,0.4480000000,-0.2800000000,-0.1190000000,0.0015692100,0.0012472100,-0.0009925810,-0.0010038800,279.4360000000,207.9220000000,-114.6850000000,-138.3990000000
280.6670000000,72.5644000000,293.4700000000,359.9140000000,0.4490000000,-0.2770000000,-0.1170000000,0.0015457200,0.0012570500,-0.0009813990,-0.0009933210,275.0110000000,210.7820000000,-113.7760000000,-135.4300000000
281.2550000000,72.9847000000,294.1920000000,359.1920000000,0.4500000000,-0.2750000000,-0.1160000000,0.0015234400,0.0012655500,-0.0009697520,-0.0009821530,270.8820000000,213.3850000000,-112.6860000000,-132.4150000000
281.8400000000,73.4071000000,294.9140000000,358.4700000000,0.4510000000,-0.2720000000,-0.1140000000,0.0015011600,0.0012740400,-0.0009581060,-0.0009709860,266.7530000000,215.9870000000,-111.5950000000,-129.4010000000
282.4250000000,73.8316000000,295.6360000000,357.7480000000,0.4520000000,-0.2690000000,-0.1110000000,0.0014801700,0.0012811600,-0.0009461160,-0.0009593440,262.9300000000,218.3210000000,-110.3440000000,-126.3720000000
283.0070000000,74.2582000000,296.3590000000,357.0250000000,0.4540000000,-0.2660000000,-0.1090000000,0.0014591600,0.0012883100,-0.0009341270,-0.0009477020,259.1030000000,220.6590000000,-109.0940000000,-123.3430000000
283.5890000000,74.6869000000,297.0810000000,356.3030000000,0.4550000000,-0.2630000000,-0.1070000000,0.0014395700,0.0012940400,-0.0009219040,-0.0009357110,255.6040000000,222.7080000000,-107.7000000000,-120.3300000000
284.1680000000,75.1177000000,297.8030000000,355.5810000000,0.4560000000,-0.2600000000,-0.1050000000,0.0014200300,0.0012997100,-0.0009096820,-0.0009237210,252.1160000000,224.7460000000,-106.3020000000,-117.3210000000
284.7460000000,75.5506000000,298.5250000000,354.8590000000,0.4570000000,-0.2580000000,-0.1030000000,0.0014018000,0.0013041400,-0.0008973260,-0.0009114950,248.9240000000,226.5260000000,-104.7880000000,-114.3410000000
285.3230000000,75.9856000000,299.2470000000,354.1370000000,0.4580000000,-0.2550000000,-0.1000000000,0.0013835600,0.0013085800,-0.0008849710,-0.0008992690,245.7300000000,228.3060000000,-103.2750000000,-111.3620000000
285.8980000000,76.4226000000,299.9700000000,353.4140000000,0.4590000000,-0.2520000000,-0.0978000000,0.0013666700,0.0013117800,-0.0008725720,-0.0008869110,242.8360000000,229.8260000000,-101.6640000000,-108.4340000000
286.4710000000,76.8618000000,300.6920000000,352.6920000000,0.4600000000,-0.2480000000,-0.0954000000,0.0013497400,0.0013150400,-0.0008601730,-0.0008745540,239.9300000000,231.3570000000,-100.0560000000,-105.5040000000
287.0430000000,77.3029000000,301.4140000000,351.9700000000,0.4610000000,-0.2450000000,-0.0930000000,0.0013341300,0.0013171300,-0.0008478120,-0.0008621560,237.3150000000,232.6340000000,-98.3679000000,-102.6410000000
287.6130000000,77.7462000000,302.1360000000,351.2480000000,0.4620000000,-0.2420000000,-0.0906000000,0.0013184900,0.0013192500,-0.0008354510,-0.0008497590,234.6940000000,233.9170000000,-96.6819000000,-99.7767000000
288.1820000000,78.1916000000,302.8590000000,350.5250000000,0.4640000000,-0.2390000000,-0.0882000000,0.0013041100,0.0013203300,-0.0008231970,-0.0008374050,232.3410000000,234.9680000000,-94.9370000000,-96.9906000000
288.7490000000,78.6389000000,303.5810000000,349.8030000000,0.4650000000,-0.2360000000,-0.0859000000,0.0012898000,0.0013213300,-0.0008109450,-0.0008250520,230.0040000000,236.0030000000,-93.1876000000,-94.2094000000
289.3140000000,79.0883000000,304.3030000000,349.0810000000,0.4660000000,-0.2330000000,-0.0835000000,0.0012766600,0.0013214100,-0.0007988620,-0.0008128140,227.9130000000,236.8280000000,-91.3985000000,-91.5143000000
289.8780000000,79.5398000000,305.0250000000,348.3590000000,0.4670000000,-0.2300000000,-0.0812000000,0.0012635100,0.0013215100,-0.0007867810,-0.0008005760,225.8180000000,237.6570000000,-89.6107000000,-88.8181000000
290.4400000000,79.9933000000,305.7480000000,347.6360000000,0.4680000000,-0.2270000000,-0.0789000000,0.0012515500,0.0013206900,-0.0007749220,-0.0007885180,223.9720000000,238.2720000000,-87.7930000000,-86.2219000000
291.0010000000,80.4488000000,306.4700000000,346.9140000000,0.4690000000,-0.2240000000,-0.0767000000,0.0012395600,0.0013199000,-0.0007630650,-0.0007764600,222.1190000000,238.8930000000,-85.9772000000,-83.6240000000
291.5600000000,80.9063000000,307.1920000000,346.1920000000,0.4700000000,-0.2210000000,-0.0744000000,0.0012286700,0.0013183200,-0.0007514750,-0.0007646340,220.4890000000,239.3250000000,-84.1483000000,-81.1293000000
292.1170000000,81.3659000000,307.9140000000,345.4700000000,0.4710000000,-0.2180000000,-0.0723000000,0.0012178200,0.0013166900,-0.0007398870,-0.0007528090,218.8700000000,239.7460000000,-82.3165000000,-78.6379000000
292.6720000000,81.8275000000,308.6370000000,344.7470000000,0.4720000000,-0.2150000000,-0.0702000000,0.0012078800,0.0013144800,-0.0007286050,-0.0007412620,217.4290000000,240.0210000000,-80.4921000000,-76.2459000000
293.2260000000,82.2910000000,309.3590000000,344.0250000000,0.4730000000,-0.2120000000,-0.0681000000,0.0011979500,0.0013122600,-0.0007173230,-0.0007297150,215.9890000000,240.2960000000,-78.6678000000,-73.8542000000
293.7780000000,82.7566000000,310.0810000000,343.3030000000,0.4750000000,-0.2090000000,-0.0661000000,0.0011890000,0.0013094000,-0.0007063780,-0.0007184850,214.7440000000,240.4080000000,-76.8526000000,-71.5747000000
294.3290000000,83.2242000000,310.8030000000,342.5810000000,0.4760000000,-0.2060000000,-0.0641000000,0.0011800900,0.0013064900,-0.0006954350,-0.0007072550,213.5080000000,240.5090000000,-75.0344000000,-69.2982000000
294.8780000000,83.6937000000,311.5250000000,341.8590000000,0.4770000000,-0.2040000000,-0.0622000000,0.0011721400,0.0013029900,-0.0006848530,-0.0006963730,212.4580000000,240.4570000000,-73.2334000000,-67.1375000000
295.4250000000,84.1652000000,312.2480000000,341.1360000000,0.4780000000,-0.2010000000,-0.0604000000,0.0011640700,0.0012996000,-0.0006742720,-0.0006854910,211.3830000000,240.4280000000,-71.4395000000,-64.9696000000
295.9700000000,84.6387000000,312.9700000000,340.4140000000,0.4790000000,-0.1980000000,-0.0586000000,0.0011568200,0.0012957500,-0.0006640700,-0.0006749790,210.4620000000,240.2760000000,-69.6756000000,-62.9131000000
296.5140000000,85.1141000000,313.6920000000,339.6920000000,0.4800000000,-0.1950000000,-0.0569000000,0.0011495700,0.0012919000,-0.0006538700,-0.0006644670,209.5400000000,240.1240000000,-67.9120000000,-60.8563000000
297.0560000000,85.5916000000,314.4140000000,338.9700000000,0.4810000000,-0.1930000000,-0.0552000000,0.0011429400,0.0012877900,-0.0006440620,-0.0006543440,208.7310000000,239.8870000000,-66.1932000000,-58.9026000000
297.5960000000,86.0710000000,315.1370000000,338.2470000000,0.4820000000,-0.1900000000,-0.0536000000,0.0011363700,0.0012836300,-0.0006342550,-0.0006442220,207.9320000000,239.6410000000,-64.4716000000,-56.9520000000
298.1340000000,86.5523000000,315.8590000000,337.5250000000,0.4830000000,-0.1880000000,-0.0521000000,0.0011305000,0.0012791300,-0.0006248520,-0.0006345020,207.2620000000,239.2920000000,-62.7917000000,-55.1127000000
298.6710000000,87.0355000000,316.5810000000,336.8030000000,0.4850000000,-0.1850000000,-0.0506000000,0.0011246800,0.0012745800,-0.0006154490,-0.0006247820,206.6040000000,238.9330000000,-61.1088000000,-53.2765000000
299.2060000000,87.5207000000,317.3030000000,336.0810000000,0.4860000000,-0.1830000000,-0.0492000000,0.0011193800,0.0012698800,-0.0006064540,-0.0006154720,206.0310000000,238.5140000000,-59.4815000000,-51.5404000000
299.7390000000,88.0079000000,318.0260000000,335.3580000000,0.4870000000,-0.1800000000,-0.0479000000,0.0011140300,0.0012652300,-0.0005974590,-0.0006061630,205.4480000000,238.1050000000,-57.8574000000,-49.8012000000
300.2710000000,88.4969000000,318.7480000000,334.6360000000,0.4880000000,-0.1780000000,-0.0466000000,0.0011092800,0.0012603300,-0.0005888740,-0.0005972680,204.9720000000,237.6150000000,-56.2834000000,-48.1691000000
300.8000000000,88.9879000000,319.4700000000,333.9140000000,0.4890000000,-0.1760000000,-0.0454000000,0.0011045600,0.0012554100,-0.0005802900,-0.0005883730,204.5000000000,237.1200000000,-54.7078000000,-46.5388000000
301.3280000000,89.4807000000,320.1920000000,333.1920000000,0.4900000000,-0.1740000000,-0.0443000000,0.0011003300,0.0012503500,-0.0005721130,-0.0005798940,204.1100000000,236.5680000000,-53.1897000000,-45.0085000000
301.8540000000,89.9755000000,320.9150000000,332.4690000000,0.4910000000,-0.1710000000,-0.0432000000,0.0010960800,0.0012453200,-0.0005639360,-0.0005714150,203.7140000000,236.0210000000,-51.6731000000,-43.4766000000
302.3790000000,90.4722000000,321.6370000000,331.7470000000,0.4920000000,-0.1690000000,-0.0422000000,0.0010921900,0.0012402700,-0.0005561630,-0.0005633480,203.3720000000,235.4440000000,-50.2210000000,-42.0365000000
