R,Zinv,Z,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top
448.135,326.786,612.907,561.996,4.60E-01,-4.05E-02,-2.8665,-1.71E-03,-1.70E-03,-9.26E-05,-8.79E-05,-381.128,-378.959,-132.858,-131.276
450.624,330.008,609.685,566.068,4.63E-01,-3.37E-02,-2.85247,-1.72E-03,-1.71E-03,-7.70E-05,-7.24E-05,-382.933,-380.828,-130.288,-128.725
453.101,333.242,606.451,570.141,4.67E-01,-2.68E-02,-2.83833,-1.73E-03,-1.72E-03,-6.14E-05,-5.67E-05,-384.747,-382.691,-127.695,-126.148
455.564,336.485,603.208,574.213,4.70E-01,-1.97E-02,-2.82411,-1.75E-03,-1.74E-03,-4.56E-05,-4.09E-05,-386.574,-384.541,-125.084,-123.545
458.014,339.738,599.955,578.286,4.73E-01,-1.25E-02,-2.80979,-1.76E-03,-1.75E-03,-2.96E-05,-2.50E-05,-388.414,-386.381,-122.453,-120.916
460.45,343.001,596.692,582.358,4.77E-01,-5.23E-03,-2.79538,-1.77E-03,-1.76E-03,-1.36E-05,-8.99E-06,-390.266,-388.212,-119.803,-118.261
462.874,346.274,593.419,586.43,4.80E-01,2.22E-03,-2.78088,-1.78E-03,-1.78E-03,2.53E-06,7.15E-06,-392.101,-390.062,-117.125,-115.589
465.284,349.557,590.136,590.503,4.83E-01,9.79E-03,-2.76628,-1.80E-03,-1.79E-03,1.88E-05,2.34E-05,-393.929,-391.923,-114.421,-112.897
467.68,352.849,586.844,594.575,4.87E-01,1.75E-02,-2.7516,-1.81E-03,-1.80E-03,3.52E-05,3.98E-05,-395.772,-393.772,-111.698,-110.178
470.063,356.151,583.542,598.648,4.90E-01,2.53E-02,-2.73684,-1.82E-03,-1.82E-03,5.17E-05,5.62E-05,-397.613,-395.627,-108.952,-107.438
472.433,359.463,580.23,602.72,4.93E-01,3.33E-02,-2.72198,-1.84E-03,-1.83E-03,6.83E-05,7.28E-05,-399.447,-397.493,-106.181,-104.679
474.789,362.785,576.908,606.793,4.97E-01,4.14E-02,-2.70704,-1.85E-03,-1.84E-03,8.50E-05,8.96E-05,-401.306,-399.339,-103.395,-101.891
477.132,366.116,573.577,610.865,5.00E-01,4.96E-02,-2.69202,-1.86E-03,-1.86E-03,1.02E-04,1.06E-04,-403.172,-401.182,-100.588,-99.0793
